Id,User_id,Type
1,1,User
2,2,User
3,3,User
4,4,Admin
5,5,Admin
6,6,User
7,7,User
8,8,User
9,9,Admin
10,10,Admin
11,11,User
12,12,User
13,13,User
14,14,User
15,15,User
16,16,User
17,17,User
18,18,User
19,19,User
20,20,User
21,21,User
22,22,Superadmin
23,23,Superadmin
24,24,User
25,25,User
26,26,User
27,27,User
28,28,User
29,29,User
30,30,User
31,31,User
32,32,User
33,33,User
34,34,User
35,35,User
36,36,User
37,37,User
38,38,User
39,39,User
40,40,User
41,41,User
42,42,User
43,43,User
44,44,User
45,45,User
46,46,User
47,47,User
48,48,User
49,49,User
50,50,User
51,51,User
52,52,User
53,53,User
54,54,User
55,55,User
56,56,User
57,57,User
58,58,User
59,59,User
60,60,User